#package,clone,doc,homepage
retry,https://github.com/moul/retry,https://github.com/moul/retry,https://github.com/moul/retry
depviz,https://github.com/moul/depviz,https://github.com/moul/depviz,https://github.com/moul/depviz
anonuuid,https://github.com/moul/anonuuid,https://github.com/moul/anonuuid,https://godoc.org/moul.io/anonuuid
protoc-gen-gotemplate,https://github.com/moul/protoc-gen-gotemplate,https://github.com/moul/protoc-gen-gotemplate,https://github.com/moul/protoc-gen-gotemplate
zapgorm,https://github.com/moul/zapgorm,https://github.com/moul/zapgorm,https://github.com/moul/zapgorm
sshportal,https://github.com/moul/sshportal,https://github.com/moul/sshportal,https://github.com/moul/sshportal
assh,https://github.com/moul/assh,https://github.com/moul/assh,https://github.com/moul/assh
patfind,https://github.com/moul/patfind,https://github.com/moul/patfind,https://github.com/moul/patfind
manfred.life,https://github.com/moul/manfred.life,https://github.com/moul/manfred.life,https://github.com/moul/manfred.life
dockerself,https://github.com/moul/dockerself,https://github.com/moul/dockerself,https://github.com/moul/dockerself
totp-keychain,https://github.com/moul/totp-keychain,https://github.com/moul/totp-keychain,https://godoc.org/moul.io/totp-keychain
pipotron,https://github.com/moul/pipotron,https://github.com/moul/pipotron,https://github.com/moul/pipotron
